Timestamp,"1.I consent to the use of my responses.
2.I understand that my participation is voluntary and unpaid.
3.I acknowledge that I have the right to skip any specific question.
4.I understand that my identity will remain anonymous and only my responses will be shared.
5.I am aware that the data collected may be used for assignments, presentations, and other forms of public dissemination.",Q1. Which gate do you use to enter the university campus?,Q2. Do you feel any inconvenience entering the university?,Q3. What difficulties do you face while entering the university?,Q4. How often do you face these difficulties?,"Q5. What consequences have you faced due to this? 
(example: running late for class)",Q6. In your opinion what should be the appropriate solution for this problem?,"Q7. If we are not able to solve the problem, do you think there should be a change in 5 min late policy?",
2024/09/10 9:50:11 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,,3-4 days a week,Running late for classes,Letting students enter from gate 2 at least in the morning,Yes,Sometimes the scanner is not working properly which takes more time for each person to enter in the university. 
2024/09/10 10:00:50 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Misplaced cards in bags;Limited entry points,3-4 days a week,Late for the classes,"Let students use all the gates, at least in the morning",Yes,
2024/09/10 10:14:46 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,Time-based access restrictions,1-2 days a week,,,Yes,
2024/09/10 10:15:16 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,Misplaced cards in bags,1-2 days a week,"Not much actually, maybe feels a bit frustrating","They should have biometric instead of cards, this is more safer ngl like outsiders can get inside with cards but not biometric.",Yes,
2024/09/10 10:15:29 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 2,No,Queue delays,1-2 days a week,,,Yes,
2024/09/10 10:16:05 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 3,No,No issues,No such difficulties,,OPEN GATE 2,No,
2024/09/10 10:16:52 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,Everyday,Running late for class,There should be atleast 3 revolving doors,Yes,
2024/09/10 10:17:20 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,No issues,No such difficulties,,having more than  1 gate,Yes,
2024/09/10 10:18:10 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,1-2 days a week,1. Running late for class. 2. Missing the elevator. 3. Having to barge in the middle of seminar.,"Stop the turnstiles, use the proper gateway.",Yes,
2024/09/10 10:18:48 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points;Time-based access restrictions,Everyday,"Running late , attendance issues",Allow access from other gated as well to ease the entrance and avoid queues forming,Yes,
2024/09/10 10:20:11 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Security issues,1-2 days a week,"Running late for class, especially auditorium lectures where attendance is biometric and marks u absent even if ur a minute late ",More gates/entry points to avoid queuing on gate 4,Yes,
2024/09/10 10:23:00 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,No issues,No such difficulties,,"There is no such problem cuz if like my class is at 8:30 i am at the campus at 8:20 or before so i dont face the issue of delayed queues. bohat bhi agar keh loon tau there is a little rush on monday morning due to the rhet comm class that too very negligible if youre there at 8:20 you wont face any issue, and to the point where the 5 min policy is concerned i dont think it should be changed haan there can be leniency by the instructors k if there is a genuine case and that person came after 5 minutes he or she can be marked present otherwise aisa bhi koi issue nahi hai k classes k darmiaan breaks na hon and because of that a person gets late",No,
2024/09/10 10:28:20 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,1-2 days a week,running late for class,"When queues are being formed at gate 4, the side gate should be opened so that students can enter easily and swiftly",Yes,
2024/09/10 10:28:35 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points;Time-based access restrictions,1-2 days a week,Late fot class because of the long queue eventhough i reached uni 15 minutes earlier ,Allow students to enter university from multiple gates. ,Yes,
2024/09/10 10:28:42 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Misplaced cards in bags;Security issues,1-2 days a week,Running late for class mainly.,There should be two gates on gate 4 such as the ones in the reception area.,Yes,
2024/09/10 10:33:28 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points,3-4 days a week,Having to wait outside is inconvenient with all the traffic and chaos. And getting late is also an issue.,Having access to more entrance gates. Especially opening up gate 2.,Yes,
2024/09/10 10:39:22 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 3,No,Queue delays,1-2 days a week,Getting late,Opening gate 2 ,Yes,
2024/09/10 10:42:17 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points;Time-based access restrictions,3-4 days a week,got marked as tardy once,open both gate 2 and 4 for student entrance,Yes,
2024/09/10 10:44:58 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points,1-2 days a week,Running late to class,Either allow students to enter and leave from gate 2 or install another turnstile at gate 4 so more people can enter in the shorter amounts of time,Yes,
2024/09/10 10:45:25 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Card not working/deactivation;Limited entry points;Time-based access restrictions,3-4 days a week,,,Yes,
2024/09/10 10:48:36 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points;Time-based access restrictions,1-2 days a week,Failure of presence in class on time ,"Access to all the other gates should be given to the students, and the 5-minute window for the attendance policy should be extended",Yes,
