Outbound Nexus,Inbound Hub,Shipment Time (days),Shipment Cost (USD),Shipping Method,Transit Trust Ratings (%)
W1,W11,2,757.96,Sea,76.14
W1,W4,11,913.21,Air,76.14
W10,W16,1,418.59,Sea,94.39
W10,W11,9,556.73,Sea,94.39
W11,W1,5,339.96,Ground,70.81
W12,W7,9,582.59,Ground,76.02
W12,W9,8,485.8,Sea,76.02
W12,W2,12,974.87,Ground,76.02
W13,W20,6,195.26,Sea,73.13
W13,W17,15,284.62,Ground,73.13
W13,W6,12,552.92,Ground,73.13
W13,W14,11,536.73,Sea,73.13
W13,W12,2,661.32,Sea,73.13
W14,W1,6,851.19,Air,93.7
W14,W10,4,821.98,Air,93.7
W14,W17,5,66.43,Ground,93.7
W14,W15,1,75.66,Ground,93.7
W14,W18,6,738.24,Sea,93.7
W14,W12,12,689.56,Sea,93.7
W15,W5,3,320.43,Sea,86.31
W15,W19,1,596.11,Sea,86.31
W15,W10,15,368.41,Ground,86.31
W15,W4,2,654.81,Ground,86.31
W15,W12,7,509.52,Sea,86.31
W16,W10,14,521.95,Air,73.24
W16,W11,5,884.69,Air,73.24
W16,W2,4,827.64,Air,73.24
W16,W7,1,805.83,Ground,73.24
W16,W8,11,122.25,Air,73.24
W16,W14,15,193.98,Ground,73.24
W17,W16,14,923.49,Air,82.5
W17,W11,2,255.71,Ground,82.5
W17,W18,7,526.41,Ground,82.5
W17,W19,6,888.75,Sea,82.5
W18,W8,10,836.67,Ground,94.33
W18,W14,1,779.06,Ground,94.33
W18,W3,11,761.62,Air,94.33
W18,W7,2,861.84,Ground,94.33
W18,W17,8,896.6,Sea,94.33
W18,W13,11,725.71,Air,94.33
W19,W17,7,830.31,Ground,91.9
W19,W11,7,580.12,Ground,91.9
W19,W9,10,82.76,Ground,91.9
W19,W13,4,945.58,Ground,91.9
W19,W3,6,997.17,Air,91.9
W19,W4,14,439.68,Sea,91.9
W2,W18,7,765.5,Sea,78.09
W2,W19,7,494.7,Air,78.09
W2,W5,13,655.03,Ground,78.09
W2,W7,13,876.33,Air,78.09
W20,W12,13,491.64,Air,89.33
W20,W9,8,767.89,Air,89.33
W20,W18,7,722.67,Ground,89.33
W20,W3,7,373.31,Ground,89.33
W20,W5,10,930.21,Air,89.33
W20,W17,1,546.54,Ground,89.33
W3,W11,4,248.07,Ground,82.95
W3,W19,8,488.74,Ground,82.95
W4,W17,4,205.89,Ground,73.83
W4,W15,15,489.96,Air,73.83
W4,W3,15,347.5,Ground,73.83
W4,W2,6,944.41,Ground,73.83
W5,W4,10,316.61,Air,87.41
W5,W13,12,502.91,Air,87.41
W5,W1,15,490.32,Air,87.41
W5,W2,2,740.04,Air,87.41
W6,W4,10,256.43,Ground,77.81
W6,W19,2,887.58,Sea,77.81
W7,W19,3,642.02,Sea,86.43
W7,W8,10,965.04,Air,86.43
W7,W11,14,732.91,Sea,86.43
W7,W15,14,88.06,Sea,86.43
W7,W17,12,749.38,Ground,86.43
W8,W12,10,177.52,Sea,86.2
W8,W18,13,281.47,Air,86.2
W8,W6,14,256.28,Ground,86.2
W8,W11,9,262.95,Air,86.2
W8,W9,1,619.01,Ground,86.2
W9,W16,9,446.04,Ground,91.85
W9,W8,2,138.6,Sea,91.85
W9,W6,9,738.54,Ground,91.85
W9,W12,1,915.7,Ground,91.85
W9,W3,12,199.8,Air,91.85
W9,W10,4,488.08,Sea,91.85
